phase_order,execution_phase,entry_evidence_required,allowed_operator_action,allowed_write_tool,write_flag_allowed,blocked_actions,next_phase_after_gate,claim_boundary
1,PENDING_HUMAN_APPROVAL,"locked protocol, round package schema, and hash-bound approval template",complete signed human_approval.md outside the pipeline,manual signed approval only; no pipeline write flag,False,"manual EIS acquisition, raw result intake, Stage0 staging, Stage0 QC, manual_rb_qc, score, history_after, CHI automation, manuscript claim upgrade",READY_FOR_MANUAL_EIS_ACQUISITION,No prospective performance or manuscript upgrade claim is allowed.
2,READY_FOR_MANUAL_EIS_ACQUISITION,valid signed human_approval.md and approval/readiness gates refreshed,acquire raw EIS manually and preserve append-only raw exports,manual instrument export only; no repository write flag,False,"automated CHI execution, result_intake write, Stage0 staging, score, history_after, manuscript claim upgrade",PENDING_RAW_RESULT_INTAKE,Raw acquisition alone is not performance evidence until content QC and Stage0 gates pass.
3,PENDING_RAW_RESULT_INTAKE,"signed approval, append-only raw EIS folder, manifest, and content QC pass",write result_intake.json and raw_data_manifest.csv with explicit write flag,build_bo_v2_result_intake_from_raw.py --write-round-files,True,"Stage0 staging, score, history_after, manuscript claim upgrade",READY_FOR_STAGE0_INPUT_STAGING,Result intake is metadata only and does not support manuscript claims.
4,READY_FOR_STAGE0_INPUT_STAGING,"result_intake.json, raw_data_manifest.csv, and postlab QC worklist ready",stage append-only Stage0 input files,build_bo_v2_stage0_input_staging.py --write-stage0-input,True,"manual_rb_qc, score, history_after, manuscript claim upgrade",READY_FOR_STAGE0_QC_RUN,Staged Stage0 inputs are not analyzed results.
5,READY_FOR_STAGE0_QC_RUN,append-only Stage0 input staging report and operator-reviewed run command,run Stage0 QC and refresh Stage0 result gate,operator-reviewed run_stage0_wrapper.py command,True,"manual_rb_qc before Stage0 result gate, score, history_after, manuscript claim upgrade",READY_FOR_MANUAL_RB_QC,Stage0 output remains screening evidence until manual Rb QC is reviewed.
6,READY_FOR_MANUAL_RB_QC,Stage0 result gate ready for manual Rb review,write manual_rb_qc.csv from human-reviewed Stage0/Rb evidence,manual_rb_qc.csv human review only,True,"score before manual Rb QC gate, history_after, manuscript claim upgrade",READY_FOR_SCORE_CALCULATION,Manual Rb QC supports scoring only after the QC gate passes.
7,READY_FOR_SCORE_CALCULATION,manual_rb_qc.csv accepted and score fields available,write score.json from the locked score_v3 formula,build_bo_v2_score_intake.py / score.json manual-calculation write,True,"history_after before score gate, manuscript claim upgrade",READY_FOR_POSTLAB_INTAKE_GATE,Score output ranks v2 candidates only; it is not a manuscript claim by itself.
8,READY_FOR_POSTLAB_INTAKE_GATE,score gate ready and postlab intake/history guards refreshed,refresh non-destructive postlab intake and history import gates,non-destructive gate refresh,False,"history_after write until append-only import is ready, manuscript claim upgrade",READY_FOR_HISTORY_AFTER_WRITE,"Postlab intake gates authorize import review, not claims."
9,READY_FOR_HISTORY_AFTER_WRITE,postlab intake ready and append-only history import guard ready,write per-round history_after.json after human review,build_bo_v2_append_only_history_import.py --write-history-after,True,manuscript claim upgrade until claim gate is ready,READY_FOR_BOUNDED_CLAIM_UPGRADE_REVIEW,History import records the v2 result; it does not expand manuscript claims.
10,READY_FOR_BOUNDED_CLAIM_UPGRADE_REVIEW,history_after import complete and claim-upgrade gate ready,review bounded claim language in a new manuscript version only,new-version manuscript edits after claim review,True,"current-version edits, world-record claims, global optimum claims, mechanism-proof claims",manuscript_upgrade_review_complete,Only bounded v2 manuscript upgrades are allowed; current small-paper baseline stays frozen.
