paper_id,title,year,doi,source_stage,source_type,ingest_status,manually_added,local_path
manual_b19f09d965,"c..  --.  E-t  rt:>  - ...c::  rt:>  '-""",2001,,s05_mechanism,pdf,carded_fallback,True,03_parsed_text\manual_b19f09d965.pdf
manual_8beb2711e9,Optimizing the Proton Conductivity with the Isokinetic  Temperature in Perovskite-Type Proton Conductors  According to Meyer–Neldel Rule,2021,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_8beb2711e9.pdf
manual_b8bf9aa17f,Entropy and Isokinetic Temperature in Fast Ion Transport,2024,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_b8bf9aa17f.pdf
manual_781d607fd3,Proton conductivity of phosphoric acid doped polybenzimidazole and its composites with inorganic proton conductors,2003,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_781d607fd3.pdf
manual_3e0fc6547f,Unidirectional and Selective Proton Transport in Artificial  Heterostructured Nanochannels with Nano-to-Subnano  Confined Water Clusters,2020,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_3e0fc6547f.pdf
manual_15d8390320,"bottleneck, and the constrained water solvent molecule positions reveal a frozen water wire. Moreover, while proton shuttles through this frozen water wire, Grotthuss di ff usion, rather than vehicular di ff usion, plays a dominant role in the process. Compared to the free energy pro fi le of a  fi ctitious non- Grotthuss shuttling classical H 3 O + , the excess protonic charge distribution reveals that Grotthuss di ff usion in the axial direction is important in a  d  = 0.81 nm CNT (6,6) nanopore and much less important in a  d  = 0.95 nm CNT (7,7) nanopore, in which the Grotthuss di ff usion is primarily just rattling within the interesting orthogonally aligned Zundel cation. These studies thus provide insights into the di ff erences between the ultrafast and ultraslow proton di ff usion rates in the CNT (6,6) and CNT (7,7). The proton di ff usion then becomes more bulk-like in larger-diameter nanopores but mostly in the water layer adjacent to the hydrophobic CNT wall. The simulations presented in this work provide multiple predictions and insights into the novel behavior of hydrated excess protons under nanoscale con fi nement in hydrophobic CNTs, which can be the focus of future detailed experimental studies. ■ ASSOCIATED CONTENT * s ı  Supporting Information The Supporting Information is available free of charge at https://pubs.acs.org/doi/10.1021/acs.jpcc.0c04493 .",2020,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_15d8390320.pdf
manual_7bf378dab7,Melchior_2017_H3PO4_water_proton_conduction_NMR,2017,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_7bf378dab7.pdf
manual_261e3791d4,Meyer–Neldel rule and anti Meyer–Neldel rule of ionic conductivity Conclusions from the coupling model,1998,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_261e3791d4.pdf
manual_d6329c4fda,"Neat liquid phosphoric acid (H 3 PO 4 ) has the highest intrinsic proton conductivity of any known substance and is a useful model for understanding proton transport in other phosphate-based systems in biology and clean energy technologies. Here, we present an  ab initio  molecular dynamics study that reveals, for the first time, the microscopic mechanism of this high proton conductivity. Anomalously fast proton transport in hydrogen-bonded systems involves a structural diffusion mechanism in which intramolecular proton transfer is driven by specific hydrogen bond rearrangements in the surrounding environment. Aqueous media transport excess charge defects through local hydrogen bond rearrangements that drive individual proton transfer reactions. In contrast, strong, polarizable hydrogen bonds in phosphoric acid produce coupled proton motion and a pronounced protic dielectric response of the medium, leading to the formation of extended, polarized hydrogen-bonded chains. The interplay between these chains and a frustrated hydrogen-bond network gives rise to the high proton conductivity. U",2012,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_d6329c4fda.pdf
manual_e2d21540be,"low temperatures. The ionic conductivity undergoes a super- Arrhenius-to-Arrhenius transition at the glass-transition tem- perature. The viscosity measurement reveals that these phosphoric acids are fragile glass-formers with fragility in the range of 95 − 150. The  T g  values determined from both conductivity and viscosity measurements are consistent with the result of previous DSC measurements. We have also con fi rmed that NMR line width analysis indeed overestimates the glass-transition temperature and therefore is not a suitable method for  T g  determination. Finally, our Walden plot analysis indicates that phosphoric acids behave like other aqueous acidic solutions at high temperatures but exhibit moderate decoupling between ionic conductivity and structural dynamics in the vicinity of the glass transition. ■ AUTHOR INFORMATION",2013,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_e2d21540be.pdf
manual_99178d5560,Acid-in-Clay Electrolyte for Wide-Temperature-Range   and Long-Cycle Proton Batteries,2022,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_99178d5560.pdf
manual_5f30cb6578,Ultrafast Lithium-Ion Transport Engineered by Nanoconfinement Effect,2025,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_5f30cb6578.pdf
manual_b197cdc3d3,Review Nanoconfined ion and water transport through nanoporous atomically thin membranes: Fabrication and mechanism,2025,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_b197cdc3d3.pdf
manual_57e6c3c8c2,"PHYSICAL REVIEW FLUIDS  5 , 124201 (2020)",2020,,s05_mechanism,pdf,carded,True,03_parsed_text\manual_57e6c3c8c2.pdf
manual_c8dafb5973,Functionalized clay nanocomposites for enhanced proton conductivity in  polyether-based fuel cell membranes,2025,,s08_materials,pdf,carded_fallback,True,03_parsed_text\manual_c8dafb5973.pdf
manual_7f4f0a8392,"M O Acc OH Acc OH               X M O | M O trap Acc OH Acc OH K        (11)    Association between the acceptor and protons and/or oxygen vacancies has already been addressed  in the section on hydration for doped BaCeO 3 , and it could be argued that discussion of trapping  effects rather belongs in that section since it includes thermodynamic considerations. However, it  has traditionally been discussed along with mobility.",2011,,s08_materials,pdf,carded,True,03_parsed_text\manual_7f4f0a8392.pdf
manual_3d7d6d5d7b,Ishiyama_2022_proton_conducting_phosphate_glass,2022,,s08_materials,pdf,carded,True,03_parsed_text\manual_3d7d6d5d7b.pdf
manual_8d58a81c9e,An effective strategy to enhance phosphoric acid retention and proton  conductivity stability: Construction of proton transfer channels with starch  rather than H 3 PO 4,2024,,s08_materials,pdf,carded,True,03_parsed_text\manual_8d58a81c9e.pdf
manual_e2d7aef1a8,"=  c 0,H +  exp �",2010,,s08_materials,pdf,carded,True,03_parsed_text\manual_e2d7aef1a8.pdf
manual_f5f9ab95ca,"Improving the ionic conductivity in nanostructured membranes based on poly(vinyl alcohol) (PVA), chitosan (CS), phosphoric acid (H 3 PO 4 ), and niobium oxide (Nb 2 O 5 )",2018,,s08_materials,pdf,carded,True,03_parsed_text\manual_f5f9ab95ca.pdf
manual_a16330d0f5,Phosphoric Acid-in-Clay Electrolyte Boosting Polybenzimidazole Membranes for High-Performance Fuel Cells,2025,,s08_materials,pdf,carded,True,03_parsed_text\manual_a16330d0f5.pdf
manual_26f0dcfc01,Journal of Materials Chemistry A,2018,,s08_materials,pdf,carded,True,03_parsed_text\manual_26f0dcfc01.pdf
openalex_w2807112462,Molecular-channel driven actuator with considerations for multiple configurations and color switching,2018,10.1038/s41467-018-03032-2,s05_mechanism,pdf,carded_fallback,False,03_parsed_text\openalex_w2807112462.pdf
openalex_w1608495915,Influence of the La6W2O15 Phase on the Properties and Integrity of La6-xWO12-?–Based Membranes,2019,10.7176/cmr/2012-2-1-5,s08_materials,pdf,carded,False,03_parsed_text\openalex_w1608495915.pdf
openalex_w3180677679,Removal of heavy metal ions from wastewater: a comprehensive and critical review,2021,10.1038/s41545-021-00127-0,s08_materials,pdf,carded_fallback,False,03_parsed_text\openalex_w3180677679.pdf
manual_6ca6be5f68,Structure and physicochemical properties of starches in lotus ( Nelumbo nucifera  Gaertn.) rhizome,2013,,s08_materials,pdf,carded,True,03_parsed_text\manual_6ca6be5f68.pdf
manual_a624da98ce,Enhanced Proton Conductivity from Phosphoric Acid-Incorporated 3D Polyacrylamide-Graft-Starch Hydrogel Materials for High-Temperature Proton Exchange Membranes,2014,,s08_materials,pdf,carded,True,03_parsed_text\manual_a624da98ce.pdf
manual_f7196a2c3b,Hydrogen ion conducting starch-chitosan blend based electrolyte for application in electrochemical devices,2014,,s08_materials,pdf,carded,True,03_parsed_text\manual_f7196a2c3b.pdf
manual_6138017199,openalex_w1608495915,,,s08_materials,pdf,carded,True,03_parsed_text\manual_6138017199.pdf
manual_328a0debca,REVIEW ARTICLE OPEN Removal of heavy metal ions from wastewater: a comprehensive and critical review,2021,,s08_materials,pdf,carded_fallback,True,03_parsed_text\manual_328a0debca.pdf
manual_1157b11126,International   Journal   of   Biological   Macromolecules,,,s08_materials,pdf,carded,True,03_parsed_text\manual_1157b11126.pdf
manual_1190463586,Article Composite Proton Exchange Membranes Based on Chitosan and Phosphotungstic Acid Immobilized One-Dimensional Attapulgite for Direct Methanol Fuel Cells,,,s08_materials,pdf,carded,True,03_parsed_text\manual_1190463586.pdf
manual_b9c3d1711d,Enhanced Proton Conductivity by the Influence of Modified  Montmorillonite on Poly (Vinyl alcohol) Based Blend  Composite Membranes,2016,,s08_materials,pdf,carded,True,03_parsed_text\manual_b9c3d1711d.pdf
manual_d4d73b37dc,openalex_w2807112462,,,s05_mechanism,pdf,carded_fallback,True,03_parsed_text\manual_d4d73b37dc.pdf
manual_5d38abe0f5,openalex_w2807410315,,,s05_mechanism,pdf,card_failed_quality_gate,True,03_parsed_text\manual_5d38abe0f5.pdf
manual_bcf27aaca9,openalex_w4366989531,,,s05_mechanism,pdf,card_failed_quality_gate,True,03_parsed_text\manual_bcf27aaca9.pdf
manual_8d58a81c9e_1,An effective strategy to enhance phosphoric acid retention and proton  conductivity stability: Construction of proton transfer channels with starch  rather than H 3 PO 4,,,s08_materials,pdf,carded,True,03_parsed_text\manual_8d58a81c9e_1.pdf
manual_42051140ac,Effect of deep eutectic solvent in proton conduction and thermal behaviour of chitosan-based membrane,,,s08_materials,pdf,carded,True,03_parsed_text\manual_42051140ac.pdf
manual_89488460eb,Enhancing proton conductivity at subzero temperature through  constructing the well-ordered structure based on carbon dots,,,s08_materials,pdf,carded,True,03_parsed_text\manual_89488460eb.pdf
manual_1ca1249fc4,Choline chloride-based deep eutectic solvents as electrolytes for wide  temperature range supercapacitors,,,s08_materials,pdf,carded,True,03_parsed_text\manual_1ca1249fc4.pdf
